transaction_id,date,amount,customer_id,payment_method,merchant_id,location,device_type,transaction_type,transaction_status,merchant_category,currency,time_of_day,day_of_week,device_os,ip_address,customer_age,customer_gender,merchant_name,transaction_fee,customer_income,transaction_description,customer_zipcode,merchant_zipcode,is_fraud
c13c6899-a8b0-4c5a-b56d-1204295a4ef5,2023-06-20,46.92680899768591,6a29d15e-7cae-4bc5-9cb2-8af7f9eb5bc6,Bank Transfer,8377268f-4ec9-481b-b177-d36ffc0019df,South Jay,Tablet,Withdrawal,Failed,Grocery,JPY,Night,Thursday,Windows,34.48.137.134,71,Male,Brown Inc,5.8478187368683106,46940.134599107725,Fill style rate financial.,24409,51515,0
aaa47b13-4beb-4877-95c7-17a42963d06b,2022-08-09,301.0121430917521,bc0fa5bf-7843-41f6-aa3a-45a1cf3bf716,Debit Card,2a35faf9-f34d-4b0b-94e4-935df196e15f,Mitchellhaven,Tablet,Purchase,Failed,Entertainment,EUR,Afternoon,Sunday,Android,94.57.209.224,43,Male,Johnson LLC,1.0003018770420868,35258.30393060672,Second leave ready together fine.,30448,13260,0
a62a0c67-a015-4317-a221-9b3c5614339f,2023-03-03,131.67456935454493,180dbbbb-48c2-40a7-934a-6e595eb41ac1,Cryptocurrency,3e07bc31-e8be-4708-8e38-48493fc1178c,Stevenland,Mobile,Purchase,Completed,Entertainment,USD,Evening,Tuesday,iOS,85.44.132.102,33,Other,Weber Ltd,2.883849227075592,32043.63839445767,Away director grow less stop.,82940,19531,0
a81defcc-0ef5-4b36-80b9-786b71f797bb,2022-05-31,91.29425537759532,28e237d1-d493-41d5-b751-5b57a9f5f92b,PayPal,e3cd6ee2-8e59-46db-a65f-9805f472f278,Lake Kevinmouth,Desktop,Transfer,Completed,Travel,AUD,Morning,Monday,Linux,58.134.142.142,27,Other,Holmes-Riley,3.2542543189940383,63034.46881137499,On security go blue.,70055,87246,0
13310db8-8eeb-4744-bee3-79bab5c9e1cb,2023-03-14,16.962487046234628,4512ad99-c8e5-4867-b690-cd7d00823f1e,PayPal,2845650e-08d0-4df0-a7a1-586c6b74bc64,North Brandon,Tablet,Transfer,Completed,Grocery,JPY,Evening,Sunday,iOS,26.231.180.162,53,Male,"Ware, Hull and Massey",0.30595680371277895,45054.633091952506,Other news deal north.,32067,38042,0
fa53a7db-9c69-4e7e-b236-2ea70655c014,2023-04-27,16.959629191460518,9efd3ca7-36e5-4ad3-a826-e723f6f00cd7,PayPal,98460364-3c4d-4311-b63a-2a17aee007b3,East Williamberg,Tablet,Payment,Completed,Clothing,GBP,Morning,Tuesday,Windows,73.90.161.17,45,Other,"Adkins, Garcia and Hawkins",5.596565534812656,61829.73801051971,Everybody do agency citizen education off.,02009,57265,0
d2285584-a9cf-4fb8-b4a0-2448e1413a03,2024-05-06,5.983876860868068,af9112cf-94cd-485b-8420-e7eebe06db88,Credit Card,b5cd73f3-965b-4cee-9dbf-1f456624c0e0,Antonioshire,Tablet,Purchase,Completed,Entertainment,EUR,Afternoon,Thursday,Android,208.166.190.29,59,Other,Nelson-Fernandez,3.3027494634487096,44516.64701521501,Interest reason ago face however human.,64155,40316,0
355ddcb5-459b-4619-b322-36c714712cb5,2023-10-01,201.12308644799396,409635ec-834e-479a-ac58-d9a9e112085d,Credit Card,18dcb315-4f5c-405c-afca-bfd039b82652,Blacktown,Mobile,Transfer,Failed,Electronics,JPY,Night,Sunday,Android,170.192.145.241,43,Other,"Beasley, Coffey and Aguilar",3.1176415828481274,29697.71285889775,Happy treatment truth usually apply.,30528,57269,1
99c69fba-68c6-4b26-b09c-02b88422a08f,2023-12-08,91.90821536272645,fa4bae7c-6e08-4171-99df-a7caa94c6598,PayPal,7e2ecb8d-8c65-45a5-a123-c10dbee7866b,Davisburgh,Tablet,Transfer,Pending,Travel,GBP,Afternoon,Friday,iOS,119.251.84.245,48,Male,Vasquez Group,5.167015195783953,45948.61739297943,Always situation money artist economy carry development.,52218,80731,0
1ec090a1-4567-4f9e-a858-6765435eae97,2023-01-20,123.12500617045903,789d7858-4eb9-48d2-a144-9b9548ada6c5,Bank Transfer,fc084e29-e75b-415f-9bb8-3228ea05b8b2,South Kevin,Mobile,Purchase,Failed,Travel,EUR,Night,Wednesday,MacOS,24.82.189.252,35,Male,Brown-Payne,0.870455535571318,26529.708665324473,Action both remain activity produce fly grow.,20269,60310,0
